city,datetime,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,date
Delhi,2026-08-16 22:00:00,82.4,198.4,715.0,46.2,22.9,42.0,172,2026-08-16
Delhi,2026-08-16 23:00:00,71.9,191.9,616.0,40.2,22.1,48.0,172,2026-08-16
Delhi,2026-08-17 00:00:00,70.1,172.3,601.0,38.6,23.0,45.0,170,2026-08-17
Delhi,2026-08-17 01:00:00,70.3,149.9,618.0,38.7,24.6,39.0,169,2026-08-17
Delhi,2026-08-17 02:00:00,68.7,144.4,623.0,39.7,26.4,33.0,169,2026-08-17
Delhi,2026-08-17 03:00:00,73.3,156.9,596.0,42.8,28.7,25.0,168,2026-08-17
Delhi,2026-08-17 04:00:00,75.2,158.3,557.0,46.9,31.1,18.0,167,2026-08-17
Delhi,2026-08-17 05:00:00,64.3,173.7,518.0,31.9,15.7,23.0,167,2026-08-17
Delhi,2026-08-17 06:00:00,58.8,187.2,483.0,27.5,14.7,32.0,167,2026-08-17
Delhi,2026-08-17 07:00:00,53.4,172.8,448.0,21.4,13.3,45.0,167,2026-08-17
Delhi,2026-08-17 08:00:00,47.6,165.3,409.0,16.0,12.3,60.0,166,2026-08-17
Delhi,2026-08-17 09:00:00,42.7,143.9,360.0,12.0,12.1,80.0,165,2026-08-17
Delhi,2026-08-17 10:00:00,56.7,277.5,307.0,8.7,12.2,102.0,163,2026-08-17
Delhi,2026-08-17 11:00:00,71.7,402.3,268.0,6.3,12.4,120.0,162,2026-08-17
Delhi,2026-08-17 12:00:00,74.3,405.1,241.0,4.8,12.4,133.0,162,2026-08-17
Delhi,2026-08-17 13:00:00,65.0,292.4,227.0,4.2,12.4,141.0,162,2026-08-17
Delhi,2026-08-17 14:00:00,66.6,299.9,250.0,5.0,12.7,144.0,162,2026-08-17
Delhi,2026-08-17 15:00:00,67.5,299.9,320.0,6.3,13.1,140.0,162,2026-08-17
Delhi,2026-08-17 16:00:00,67.1,288.7,427.0,9.0,13.8,131.0,162,2026-08-17
Delhi,2026-08-17 17:00:00,55.5,197.0,563.0,16.4,13.8,108.0,162,2026-08-17
Delhi,2026-08-17 18:00:00,57.4,154.1,750.0,30.9,17.0,83.0,161,2026-08-17
Delhi,2026-08-17 19:00:00,64.5,144.8,965.0,50.9,21.6,49.0,160,2026-08-17
Delhi,2026-08-17 20:00:00,72.6,143.9,1139.0,66.2,25.8,22.0,159,2026-08-17
Delhi,2026-08-17 21:00:00,78.2,142.5,1271.0,72.9,29.7,10.0,158,2026-08-17
Delhi,2026-08-17 22:00:00,82.4,133.2,1360.0,74.8,33.3,5.0,157,2026-08-17
Delhi,2026-08-17 23:00:00,82.4,121.5,1337.0,73.4,34.3,4.0,157,2026-08-17
Delhi,2026-08-18 00:00:00,72.2,96.6,1112.0,67.0,30.6,7.0,158,2026-08-18
Delhi,2026-08-18 01:00:00,55.4,68.2,775.0,57.3,24.4,14.0,158,2026-08-18
Delhi,2026-08-18 02:00:00,44.6,52.7,518.0,50.1,19.8,18.0,157,2026-08-18
Delhi,2026-08-18 03:00:00,41.8,49.2,426.0,49.1,18.8,14.0,156,2026-08-18
Delhi,2026-08-18 04:00:00,48.1,57.9,415.0,50.7,19.5,7.0,156,2026-08-18
Delhi,2026-08-18 05:00:00,29.2,55.5,430.0,19.8,10.0,33.0,155,2026-08-18
Delhi,2026-08-18 06:00:00,41.6,178.3,478.0,19.7,10.9,39.0,154,2026-08-18
Delhi,2026-08-18 07:00:00,51.3,212.3,552.0,19.4,12.1,47.0,153,2026-08-18
Delhi,2026-08-18 08:00:00,56.1,249.6,578.0,18.1,13.2,61.0,153,2026-08-18
Delhi,2026-08-18 09:00:00,63.8,299.0,504.0,14.8,13.9,84.0,153,2026-08-18
Delhi,2026-08-18 10:00:00,71.0,353.0,382.0,10.4,14.4,111.0,154,2026-08-18
Delhi,2026-08-18 11:00:00,61.2,261.7,293.0,7.1,14.7,133.0,154,2026-08-18
Delhi,2026-08-18 12:00:00,57.5,231.0,265.0,5.6,14.7,145.0,154,2026-08-18
Delhi,2026-08-18 13:00:00,56.8,223.1,271.0,5.2,14.6,152.0,154,2026-08-18
Delhi,2026-08-18 14:00:00,57.2,222.1,312.0,6.1,14.7,154.0,153,2026-08-18
Delhi,2026-08-18 15:00:00,60.3,245.9,394.0,6.5,14.8,153.0,153,2026-08-18
Delhi,2026-08-18 16:00:00,58.3,229.6,511.0,8.3,15.2,147.0,153,2026-08-18
Delhi,2026-08-18 17:00:00,55.1,165.8,642.0,20.7,16.6,123.0,153,2026-08-18
Delhi,2026-08-18 18:00:00,69.4,156.5,815.0,42.2,24.0,92.0,153,2026-08-18
Delhi,2026-08-18 19:00:00,90.1,177.9,1002.0,71.5,34.1,50.0,153,2026-08-18
Delhi,2026-08-18 20:00:00,103.8,176.5,1094.0,90.7,40.9,21.0,154,2026-08-18
Delhi,2026-08-18 21:00:00,88.5,149.5,1015.0,89.8,41.1,18.0,155,2026-08-18
Delhi,2026-08-18 22:00:00,83.1,137.4,840.0,78.9,38.0,28.0,155,2026-08-18
Delhi,2026-08-18 23:00:00,80.6,124.3,690.0,70.2,35.5,34.0,155,2026-08-18
Delhi,2026-08-19 00:00:00,78.9,115.5,608.0,68.6,35.0,31.0,155,2026-08-19
Delhi,2026-08-19 01:00:00,81.0,113.4,551.0,69.3,35.2,24.0,155,2026-08-19
Delhi,2026-08-19 02:00:00,86.4,118.3,505.0,70.3,35.5,18.0,156,2026-08-19
Delhi,2026-08-19 03:00:00,92.2,124.3,455.0,72.1,35.9,10.0,157,2026-08-19
Delhi,2026-08-19 04:00:00,96.4,128.5,417.0,74.1,36.4,2.0,159,2026-08-19
Delhi,2026-08-19 05:00:00,65.0,98.5,419.0,51.1,37.9,27.0,160,2026-08-19
Delhi,2026-08-19 06:00:00,67.8,105.7,499.0,46.7,38.7,42.0,161,2026-08-19
Delhi,2026-08-19 07:00:00,64.7,114.6,620.0,40.3,39.7,64.0,162,2026-08-19
Delhi,2026-08-19 08:00:00,61.5,120.6,699.0,33.3,39.0,88.0,162,2026-08-19
Delhi,2026-08-19 09:00:00,58.0,121.5,695.0,25.2,35.1,116.0,162,2026-08-19
Delhi,2026-08-19 10:00:00,57.3,135.0,651.0,16.4,29.6,148.0,162,2026-08-19
Delhi,2026-08-19 11:00:00,50.5,108.0,609.0,10.0,25.4,174.0,162,2026-08-19
Delhi,2026-08-19 12:00:00,47.8,101.7,581.0,7.2,24.0,194.0,162,2026-08-19
Delhi,2026-08-19 13:00:00,47.5,97.6,555.0,6.8,24.1,209.0,161,2026-08-19
Delhi,2026-08-19 14:00:00,49.5,97.1,545.0,7.4,24.3,218.0,161,2026-08-19
Delhi,2026-08-19 15:00:00,49.8,95.7,502.0,8.2,24.4,221.0,161,2026-08-19
Delhi,2026-08-19 16:00:00,50.4,107.6,475.0,10.1,24.8,217.0,160,2026-08-19
Delhi,2026-08-19 17:00:00,50.6,96.4,619.0,18.9,19.6,142.0,176,2026-08-19
Delhi,2026-08-19 18:00:00,51.5,85.2,1124.0,30.4,22.6,118.0,180,2026-08-19
Delhi,2026-08-19 19:00:00,59.0,86.4,1799.0,46.0,26.7,85.0,176,2026-08-19
Delhi,2026-08-19 20:00:00,60.8,80.3,2232.0,56.0,29.6,61.0,161,2026-08-19
Delhi,2026-08-19 21:00:00,57.4,75.0,2206.0,55.0,30.3,54.0,157,2026-08-19
Delhi,2026-08-19 22:00:00,59.6,74.0,1937.0,48.3,29.9,55.0,156,2026-08-19
Delhi,2026-08-19 23:00:00,61.0,74.0,1658.0,42.3,29.2,56.0,156,2026-08-19
Delhi,2026-08-20 00:00:00,58.2,72.4,1427.0,38.9,28.2,55.0,155,2026-08-20
Delhi,2026-08-20 01:00:00,58.4,71.0,1186.0,36.1,27.0,54.0,155,2026-08-20
Delhi,2026-08-20 02:00:00,58.2,69.8,1000.0,34.1,26.2,53.0,154,2026-08-20
Delhi,2026-08-20 03:00:00,58.6,71.0,895.0,33.0,25.8,49.0,153,2026-08-20
Delhi,2026-08-20 04:00:00,57.7,69.2,845.0,32.6,25.8,44.0,152,2026-08-20
Delhi,2026-08-20 05:00:00,38.0,46.9,833.0,26.4,27.6,68.0,151,2026-08-20
Delhi,2026-08-20 06:00:00,37.1,44.8,895.0,28.1,27.8,68.0,150,2026-08-20
Delhi,2026-08-20 07:00:00,34.8,42.5,996.0,30.3,28.2,69.0,147,2026-08-20
Delhi,2026-08-20 08:00:00,30.7,40.4,1016.0,30.4,28.9,79.0,144,2026-08-20
Delhi,2026-08-20 09:00:00,31.7,43.0,867.0,26.7,30.7,108.0,141,2026-08-20
Delhi,2026-08-20 10:00:00,34.1,48.9,637.0,20.9,32.8,146.0,138,2026-08-20
Delhi,2026-08-20 11:00:00,36.7,58.1,464.0,15.9,33.4,176.0,136,2026-08-20
Delhi,2026-08-20 12:00:00,38.1,67.8,408.0,12.2,30.8,190.0,134,2026-08-20
Delhi,2026-08-20 13:00:00,37.7,65.7,410.0,9.3,26.6,197.0,133,2026-08-20
Delhi,2026-08-20 14:00:00,36.6,59.1,433.0,8.2,23.8,199.0,132,2026-08-20
Delhi,2026-08-20 15:00:00,37.1,56.6,452.0,7.1,23.1,203.0,131,2026-08-20
Delhi,2026-08-20 16:00:00,38.3,56.6,493.0,7.7,23.8,204.0,143,2026-08-20
Delhi,2026-08-20 17:00:00,51.0,78.9,597.0,41.6,40.3,131.0,164,2026-08-20
Delhi,2026-08-20 18:00:00,57.6,95.0,793.0,51.7,40.7,108.0,168,2026-08-20
Delhi,2026-08-20 19:00:00,67.3,95.5,1053.0,65.5,41.2,76.0,162,2026-08-20
Delhi,2026-08-20 20:00:00,74.3,100.1,1333.0,75.5,41.6,51.0,145,2026-08-20
Delhi,2026-08-20 21:00:00,80.6,105.5,1676.0,78.6,42.3,41.0,131,2026-08-20
Delhi,2026-08-20 22:00:00,87.3,107.1,2040.0,77.8,42.9,38.0,133,2026-08-20
Delhi,2026-08-20 23:00:00,85.0,102.7,2249.0,75.2,42.4,36.0,136,2026-08-20
Delhi,2026-08-21 00:00:00,77.1,91.7,2212.0,70.0,39.5,34.0,139,2026-08-21
Delhi,2026-08-21 01:00:00,74.7,85.4,2021.0,63.0,35.5,34.0,141,2026-08-21
Delhi,2026-08-21 02:00:00,78.2,87.3,1779.0,58.1,33.2,32.0,143,2026-08-21
Delhi,2026-08-21 03:00:00,80.1,89.9,1472.0,58.3,34.2,25.0,145,2026-08-21
Delhi,2026-08-21 04:00:00,82.7,92.7,1113.0,60.6,36.8,17.0,147,2026-08-21
Delhi,2026-08-21 05:00:00,38.5,58.9,849.0,21.7,12.5,64.0,149,2026-08-21
Delhi,2026-08-21 06:00:00,33.9,53.4,772.0,20.5,12.5,67.0,150,2026-08-21
Delhi,2026-08-21 07:00:00,32.8,50.9,788.0,18.8,12.6,72.0,149,2026-08-21
Delhi,2026-08-21 08:00:00,32.0,54.1,764.0,16.6,13.1,84.0,149,2026-08-21
Delhi,2026-08-21 09:00:00,33.4,65.9,625.0,13.4,14.4,111.0,149,2026-08-21
Delhi,2026-08-21 10:00:00,42.1,120.1,446.0,9.7,16.2,145.0,149,2026-08-21
Delhi,2026-08-21 11:00:00,42.4,105.7,315.0,7.0,17.5,172.0,150,2026-08-21
Delhi,2026-08-21 12:00:00,40.9,84.3,269.0,5.5,17.9,188.0,150,2026-08-21
Delhi,2026-08-21 13:00:00,43.5,91.3,272.0,5.0,17.7,198.0,150,2026-08-21
Delhi,2026-08-21 14:00:00,44.0,88.0,305.0,5.8,17.6,199.0,150,2026-08-21
Delhi,2026-08-21 15:00:00,44.6,94.3,348.0,7.6,17.4,191.0,151,2026-08-21
Delhi,2026-08-21 16:00:00,44.7,100.4,420.0,10.7,17.2,175.0,151,2026-08-21
Delhi,2026-08-21 17:00:00,45.9,132.7,563.0,15.4,15.1,142.0,157,2026-08-21
Delhi,2026-08-21 18:00:00,49.4,112.5,842.0,26.3,17.2,116.0,162,2026-08-21
Delhi,2026-08-21 19:00:00,55.5,109.4,1191.0,41.4,20.2,81.0,158,2026-08-21
Delhi,2026-08-21 20:00:00,60.5,111.1,1452.0,53.8,23.1,52.0,150,2026-08-21
Delhi,2026-08-21 21:00:00,64.3,114.3,1587.0,61.1,25.9,37.0,150,2026-08-21
Delhi,2026-08-21 22:00:00,72.9,126.7,1634.0,65.6,28.7,28.0,148,2026-08-21
Delhi,2026-08-21 23:00:00,81.7,135.5,1542.0,67.3,30.1,23.0,147,2026-08-21
Delhi,2026-08-22 00:00:00,85.0,137.8,1211.0,65.5,29.4,20.0,146,2026-08-22
Delhi,2026-08-22 01:00:00,83.8,133.2,741.0,60.8,27.5,21.0,147,2026-08-22
Delhi,2026-08-22 02:00:00,76.1,117.3,388.0,55.4,25.6,25.0,148,2026-08-22
Delhi,2026-08-22 03:00:00,61.9,92.7,260.0,49.0,23.7,32.0,148,2026-08-22
Delhi,2026-08-22 04:00:00,53.8,83.6,248.0,41.7,21.9,42.0,146,2026-08-22
Delhi,2026-08-22 05:00:00,34.6,66.4,283.0,21.9,11.2,54.0,143,2026-08-22
Delhi,2026-08-22 06:00:00,33.2,66.8,380.0,22.0,11.5,54.0,142,2026-08-22
Delhi,2026-08-22 07:00:00,37.3,74.3,525.0,22.0,12.1,55.0,142,2026-08-22
Delhi,2026-08-22 08:00:00,41.2,112.2,598.0,20.9,13.2,68.0,143,2026-08-22
Delhi,2026-08-22 09:00:00,46.0,140.2,526.0,17.6,15.5,102.0,144,2026-08-22
Delhi,2026-08-22 10:00:00,53.4,176.5,384.0,13.1,18.4,146.0,145,2026-08-22
Delhi,2026-08-22 11:00:00,63.6,216.5,277.0,9.4,20.3,181.0,146,2026-08-22
Delhi,2026-08-22 12:00:00,68.0,224.0,245.0,7.0,20.3,198.0,149,2026-08-22
Delhi,2026-08-22 13:00:00,71.2,238.0,248.0,5.4,19.4,206.0,150,2026-08-22
Delhi,2026-08-22 14:00:00,73.3,256.1,274.0,5.5,18.5,205.0,151,2026-08-22
Delhi,2026-08-22 15:00:00,73.6,266.4,301.0,7.0,17.8,196.0,152,2026-08-22
Delhi,2026-08-22 16:00:00,74.0,271.9,350.0,10.3,17.2,180.0,153,2026-08-22
Delhi,2026-08-22 17:00:00,69.4,230.0,481.0,22.1,17.2,139.0,163,2026-08-22
Delhi,2026-08-22 18:00:00,68.5,183.5,784.0,35.1,19.8,112.0,169,2026-08-22
Delhi,2026-08-22 19:00:00,76.4,162.1,1168.0,53.0,23.4,76.0,163,2026-08-22
Delhi,2026-08-22 20:00:00,76.8,152.7,1414.0,66.6,26.9,47.0,156,2026-08-22
Delhi,2026-08-22 21:00:00,82.7,142.0,1419.0,71.9,30.1,35.0,156,2026-08-22
Delhi,2026-08-22 22:00:00,82.2,129.9,1287.0,72.8,33.1,32.0,157,2026-08-22
Delhi,2026-08-22 23:00:00,86.1,122.9,1113.0,72.4,35.3,30.0,157,2026-08-22
Delhi,2026-08-23 00:00:00,86.6,119.2,877.0,70.9,36.2,27.0,157,2026-08-23
Delhi,2026-08-23 01:00:00,89.2,121.5,599.0,67.9,36.3,26.0,157,2026-08-23
Delhi,2026-08-23 02:00:00,92.9,126.2,428.0,65.4,36.3,24.0,157,2026-08-23
Delhi,2026-08-23 03:00:00,95.7,132.2,464.0,65.6,36.8,18.0,158,2026-08-23
Delhi,2026-08-23 04:00:00,96.4,132.7,609.0,66.2,37.3,12.0,159,2026-08-23
Delhi,2026-08-23 05:00:00,40.7,64.3,714.0,26.2,18.3,62.0,160,2026-08-23
Delhi,2026-08-23 06:00:00,41.6,57.7,723.0,24.7,18.8,71.0,160,2026-08-23
Delhi,2026-08-23 07:00:00,34.7,53.0,694.0,22.4,19.4,84.0,161,2026-08-23
Delhi,2026-08-23 08:00:00,32.2,51.0,651.0,19.4,19.9,101.0,160,2026-08-23
Delhi,2026-08-23 09:00:00,32.2,55.8,598.0,15.2,20.2,126.0,160,2026-08-23
Delhi,2026-08-23 10:00:00,32.0,59.4,532.0,10.3,20.3,156.0,160,2026-08-23
Delhi,2026-08-23 11:00:00,32.4,61.7,468.0,6.7,20.3,180.0,159,2026-08-23
Delhi,2026-08-23 12:00:00,32.4,60.3,402.0,4.9,20.1,195.0,158,2026-08-23
Delhi,2026-08-23 13:00:00,32.9,59.1,339.0,4.4,19.7,204.0,157,2026-08-23
Delhi,2026-08-23 14:00:00,34.5,59.8,303.0,4.9,19.5,207.0,156,2026-08-23
Delhi,2026-08-23 15:00:00,35.6,61.5,279.0,6.5,19.5,203.0,155,2026-08-23
Delhi,2026-08-23 16:00:00,36.1,62.9,282.0,9.2,19.7,191.0,156,2026-08-23
Delhi,2026-08-23 17:00:00,51.2,122.9,388.0,14.8,16.4,130.0,171,2026-08-23
Delhi,2026-08-23 18:00:00,57.5,112.5,714.0,33.8,23.1,103.0,171,2026-08-23
Delhi,2026-08-23 19:00:00,72.6,132.2,1143.0,59.9,32.3,65.0,163,2026-08-23
Delhi,2026-08-23 20:00:00,93.4,155.5,1393.0,78.1,38.9,38.0,152,2026-08-23
Delhi,2026-08-23 21:00:00,111.1,173.2,1297.0,81.2,40.8,31.0,152,2026-08-23
Delhi,2026-08-23 22:00:00,116.4,177.0,1023.0,76.3,40.2,34.0,153,2026-08-23
Delhi,2026-08-23 23:00:00,88.9,139.7,789.0,70.4,38.3,35.0,154,2026-08-23
Delhi,2026-08-24 00:00:00,73.6,122.5,672.0,64.6,34.6,31.0,154,2026-08-24
Delhi,2026-08-24 01:00:00,72.9,115.0,597.0,57.7,29.7,25.0,154,2026-08-24
Delhi,2026-08-24 02:00:00,80.1,121.5,550.0,52.6,26.8,21.0,153,2026-08-24
Delhi,2026-08-24 03:00:00,85.0,127.1,527.0,51.2,27.6,17.0,153,2026-08-24
Delhi,2026-08-24 04:00:00,83.8,125.3,533.0,51.5,30.3,14.0,153,2026-08-24
Delhi,2026-08-24 05:00:00,67.1,112.5,576.0,41.8,25.7,35.0,152,2026-08-24
Delhi,2026-08-24 06:00:00,71.7,113.9,698.0,39.5,27.0,47.0,153,2026-08-24
Delhi,2026-08-24 07:00:00,68.7,115.9,856.0,36.3,28.8,66.0,154,2026-08-24
Delhi,2026-08-24 08:00:00,66.4,119.2,935.0,32.7,30.6,87.0,155,2026-08-24
Delhi,2026-08-24 09:00:00,62.4,114.8,862.0,28.9,32.6,113.0,156,2026-08-24
Delhi,2026-08-24 10:00:00,59.8,106.2,710.0,24.8,34.5,141.0,157,2026-08-24
Delhi,2026-08-24 11:00:00,56.8,99.2,578.0,21.0,35.5,168.0,158,2026-08-24
Delhi,2026-08-24 12:00:00,56.6,97.1,486.0,17.0,34.8,194.0,158,2026-08-24
Delhi,2026-08-24 13:00:00,57.9,98.5,414.0,13.3,33.0,217.0,159,2026-08-24
Delhi,2026-08-24 14:00:00,58.2,97.8,403.0,11.6,31.4,230.0,160,2026-08-24
Delhi,2026-08-24 15:00:00,57.7,95.9,411.0,12.1,29.8,227.0,160,2026-08-24
Delhi,2026-08-24 16:00:00,57.3,93.4,480.0,14.6,28.3,214.0,161,2026-08-24
Delhi,2026-08-24 17:00:00,51.3,82.7,774.0,31.9,27.1,122.0,177,2026-08-24
Delhi,2026-08-24 18:00:00,52.4,73.1,1581.0,35.1,28.0,112.0,179,2026-08-24
Delhi,2026-08-24 19:00:00,51.5,70.1,2614.0,40.0,29.4,97.0,174,2026-08-24
Delhi,2026-08-24 20:00:00,55.8,70.8,3174.0,46.6,32.0,81.0,163,2026-08-24
Delhi,2026-08-24 21:00:00,63.8,76.6,2821.0,56.8,36.9,61.0,160,2026-08-24
Delhi,2026-08-24 22:00:00,73.1,83.6,1995.0,68.6,42.9,38.0,158,2026-08-24
Delhi,2026-08-24 23:00:00,83.6,91.5,1314.0,76.5,47.0,23.0,157,2026-08-24
Delhi,2026-08-25 00:00:00,89.2,98.0,1014.0,77.8,47.7,19.0,157,2026-08-25
Delhi,2026-08-25 01:00:00,89.4,99.2,859.0,75.2,46.4,22.0,157,2026-08-25
Delhi,2026-08-25 02:00:00,78.9,87.1,766.0,70.4,44.3,26.0,158,2026-08-25
Delhi,2026-08-25 03:00:00,66.1,74.3,710.0,62.7,40.7,30.0,158,2026-08-25
Delhi,2026-08-25 04:00:00,46.3,52.6,717.0,52.9,36.2,36.0,157,2026-08-25
Delhi,2026-08-25 05:00:00,61.5,74.5,775.0,37.1,31.3,53.0,156,2026-08-25
Delhi,2026-08-25 06:00:00,64.5,76.8,929.0,39.8,34.7,54.0,156,2026-08-25
Delhi,2026-08-25 07:00:00,65.2,79.9,1136.0,43.3,39.5,57.0,156,2026-08-25
Delhi,2026-08-25 08:00:00,67.1,84.1,1254.0,43.5,43.5,74.0,156,2026-08-25
Delhi,2026-08-25 09:00:00,62.6,84.8,1203.0,37.5,46.4,115.0,156,2026-08-25
Delhi,2026-08-25 10:00:00,57.9,84.1,1064.0,28.3,48.6,169.0,156,2026-08-25
Delhi,2026-08-25 11:00:00,60.5,93.1,933.0,20.6,49.2,214.0,156,2026-08-25
Delhi,2026-08-25 12:00:00,62.6,94.1,832.0,15.7,47.4,244.0,156,2026-08-25
Delhi,2026-08-25 13:00:00,65.2,95.9,740.0,12.3,44.0,264.0,156,2026-08-25
Delhi,2026-08-25 14:00:00,69.4,102.0,690.0,11.2,41.0,274.0,156,2026-08-25
Delhi,2026-08-25 15:00:00,71.0,103.6,640.0,9.4,38.1,274.0,162,2026-08-25
Delhi,2026-08-25 16:00:00,72.2,105.9,634.0,9.8,35.6,262.0,197,2026-08-25
Delhi,2026-08-25 17:00:00,50.8,60.8,832.0,29.9,38.6,166.0,211,2026-08-25
Delhi,2026-08-25 18:00:00,52.4,60.1,1471.0,35.6,40.2,143.0,215,2026-08-25
Delhi,2026-08-25 19:00:00,57.4,63.3,2316.0,43.7,42.5,112.0,213,2026-08-25
Delhi,2026-08-25 20:00:00,67.3,71.9,2819.0,51.4,45.5,84.0,206,2026-08-25
Delhi,2026-08-25 21:00:00,78.0,81.5,2684.0,58.2,49.6,65.0,189,2026-08-25
Delhi,2026-08-25 22:00:00,88.0,91.3,2208.0,64.6,54.4,49.0,158,2026-08-25
Delhi,2026-08-25 23:00:00,97.3,100.4,1736.0,69.5,58.3,37.0,159,2026-08-25
Delhi,2026-08-26 00:00:00,103.6,106.4,1350.0,72.0,60.5,29.0,159,2026-08-26
Delhi,2026-08-26 01:00:00,109.4,112.0,968.0,72.9,61.8,23.0,160,2026-08-26
Delhi,2026-08-26 02:00:00,115.3,117.8,690.0,73.8,62.9,19.0,160,2026-08-26
Delhi,2026-08-26 03:00:00,120.1,122.5,564.0,76.4,63.7,10.0,161,2026-08-26
Delhi,2026-08-26 04:00:00,125.3,128.5,541.0,78.9,64.4,1.0,163,2026-08-26
Delhi,2026-08-26 05:00:00,95.9,97.1,574.0,52.5,63.1,36.0,165,2026-08-26
